option,SKU,SMSXR,SMSXR-NP,SMSXP,SMSXP-NP,SMSXU,SMSXU-NP,SMDXR,SMDXR-NP,SMDXP,SMDXP-NP,SMDXU,SMDXU-NP,M1SXR,M1SXR-NP,M1SXP,M1SXP-NP,M1SXU,M1SXU-NP,M1DXR,M1DXR-NP,M1DXP,M1DXP-NP,M1DXU,M1DXU-NP,M3SXR,M3SXR-NP,M3SXP,M3SXP-NP,M3SXU,M3SXU-NP,M3DXR,M3DXR-NP,M3DXP,M3DXP-NP,M3DXU,M3DXU-NP,M4SXR,M4SXR-NP,M4SXP,M4SXP-NP,M4SXU,M4SXU-NP,M4DXR,M4DXR-NP,M4DXP,M4DXP-NP,M4DXU,M4DXU-NP
5 m / 16.40 ft,005M,$4.60,$5.30,$7.50,$8.20,$9.00,$9.70,$7.80,$9.20,$12.20,$13.60,$16.20,$17.60,$5.60,$6.30,$9.00,$9.70,$10.00,$10.70,$10.30,$11.20,$14.70,$15.60,$18.70,$19.60,$5.60,$6.30,$9.00,$9.70,$10.00,$10.70,$10.30,$11.20,$14.70,$15.60,$18.70,$19.60,$4.90,$5.40,$7.50,$8.00,$8.50,$9.00,$9.80,$10.80,$15.00,$16.00,$17.00,$18.00
5.48 m / 18 ft,018FT,$4.79,$5.54,$7.64,$8.39,$9.19,$9.94,$8.09,$9.58,$12.49,$13.98,$16.49,$17.98,$5.89,$6.64,$9.29,$10.04,$10.29,$11.04,$10.83,$11.78,$15.23,$16.18,$19.23,$20.18,$5.89,$6.64,$9.29,$10.04,$10.29,$11.04,$10.83,$11.78,$15.23,$16.18,$19.23,$20.18,$5.14,$5.69,$7.74,$8.29,$8.74,$9.29,$10.28,$11.38,$15.48,$16.58,$17.48,$18.58
6 m / 19.68 ft,006M,$5.00,$5.80,$7.80,$8.60,$9.40,$10.20,$8.40,$10.00,$12.80,$14.40,$16.80,$18.40,$6.20,$7.00,$9.60,$10.40,$10.60,$11.40,$11.40,$12.40,$15.80,$16.80,$19.80,$20.80,$6.20,$7.00,$9.60,$10.40,$10.60,$11.40,$11.40,$12.40,$15.80,$16.80,$19.80,$20.80,$5.40,$6.00,$8.00,$8.60,$9.00,$9.60,$10.80,$12.00,$16.00,$17.20,$18.00,$19.20
6.09 m / 20 ft,020FT,$5.04,$5.85,$7.83,$8.64,$9.44,$10.25,$8.45,$10.07,$12.85,$14.47,$16.85,$18.47,$6.25,$7.06,$9.65,$10.46,$10.65,$11.46,$11.50,$12.51,$15.90,$16.91,$19.90,$20.91,$6.25,$7.06,$9.65,$10.46,$10.65,$11.46,$11.50,$12.51,$15.90,$16.91,$19.90,$20.91,$5.45,$6.05,$8.05,$8.65,$9.05,$9.65,$10.89,$12.11,$16.09,$17.31,$18.09,$19.31
7 m / 22.96 ft,007M,$5.40,$6.30,$8.10,$9.00,$9.80,$10.70,$9.00,$10.80,$13.40,$15.20,$17.40,$19.20,$6.80,$7.70,$10.20,$11.10,$11.20,$12.10,$12.50,$13.60,$16.90,$18.00,$20.90,$22.00,$6.80,$7.70,$10.20,$11.10,$11.20,$12.10,$12.50,$13.60,$16.90,$18.00,$20.90,$22.00,$5.90,$6.60,$8.50,$9.20,$9.50,$10.20,$11.80,$13.20,$17.00,$18.40,$19.00,$20.40
7.62 m / 25 ft,025FT,$5.65,$6.61,$8.29,$9.25,$10.05,$11.01,$9.37,$11.30,$13.77,$15.70,$17.77,$19.70,$7.17,$8.13,$10.57,$11.53,$11.57,$12.53,$13.18,$14.34,$17.58,$18.74,$21.58,$22.74,$7.17,$8.13,$10.57,$11.53,$11.57,$12.53,$13.18,$14.34,$17.58,$18.74,$21.58,$22.74,$6.21,$6.97,$8.81,$9.57,$9.81,$10.57,$12.42,$13.94,$17.62,$19.14,$19.62,$21.14
8 m / 26.24 ft,008M,$5.80,$6.80,$8.40,$9.40,$10.20,$11.20,$9.60,$11.60,$14.00,$16.00,$18.00,$20.00,$7.40,$8.40,$10.80,$11.80,$11.80,$12.80,$13.60,$14.80,$18.00,$19.20,$22.00,$23.20,$7.40,$8.40,$10.80,$11.80,$11.80,$12.80,$13.60,$14.80,$18.00,$19.20,$22.00,$23.20,$6.40,$7.20,$9.00,$9.80,$10.00,$10.80,$12.80,$14.40,$18.00,$19.60,$20.00,$21.60
9 m / 29.52 ft,009M,$6.20,$7.30,$8.70,$9.80,$10.60,$11.70,$10.20,$12.40,$14.60,$16.80,$18.60,$20.80,$8.00,$9.10,$11.40,$12.50,$12.40,$13.50,$14.70,$16.00,$19.10,$20.40,$23.10,$24.40,$8.00,$9.10,$11.40,$12.50,$12.40,$13.50,$14.70,$16.00,$19.10,$20.40,$23.10,$24.40,$6.90,$7.80,$9.50,$10.40,$10.50,$11.40,$13.80,$15.60,$19.00,$20.80,$21.00,$22.80
9.14 m / 30 ft,030FT,$6.26,$7.37,$8.74,$9.86,$10.66,$11.77,$10.28,$12.51,$14.68,$16.91,$18.68,$20.91,$8.08,$9.20,$11.48,$12.60,$12.48,$13.60,$14.85,$16.17,$19.25,$20.57,$23.25,$24.57,$8.08,$9.20,$11.48,$12.60,$12.48,$13.60,$14.85,$16.17,$19.25,$20.57,$23.25,$24.57,$6.97,$7.88,$9.57,$10.48,$10.57,$11.48,$13.94,$15.77,$19.14,$20.97,$21.14,$22.97
10 m / 32.80 ft,010M,$6.60,$7.80,$9.00,$10.20,$11.00,$12.20,$10.80,$13.20,$15.20,$17.60,$19.20,$21.60,$8.60,$9.80,$12.00,$13.20,$13.00,$14.20,$15.80,$17.20,$20.20,$21.60,$24.20,$25.60,$8.60,$9.80,$12.00,$13.20,$13.00,$14.20,$15.80,$17.20,$20.20,$21.60,$24.20,$25.60,$7.40,$8.40,$10.00,$11.00,$11.00,$12.00,$14.80,$16.80,$20.00,$22.00,$22.00,$24.00
12 m / 39.37 ft,012M,$7.40,$8.80,$9.60,$11.00,$11.80,$13.20,$12.00,$14.80,$16.40,$19.20,$20.40,$23.20,$9.80,$11.20,$13.20,$14.60,$14.20,$15.60,$18.00,$19.60,$22.40,$24.00,$26.40,$28.00,$9.80,$11.20,$13.20,$14.60,$14.20,$15.60,$18.00,$19.60,$22.40,$24.00,$26.40,$28.00,$8.40,$9.60,$11.00,$12.20,$12.00,$13.20,$16.80,$19.20,$22.00,$24.40,$24.00,$26.40
12.19 m / 40 ft,040FT,$7.48,$8.90,$9.66,$11.08,$11.88,$13.30,$12.11,$14.95,$16.51,$19.35,$20.51,$23.35,$9.91,$11.33,$13.31,$14.73,$14.31,$15.73,$18.21,$19.83,$22.61,$24.23,$26.61,$28.23,$9.91,$11.33,$13.31,$14.73,$14.31,$15.73,$18.21,$19.83,$22.61,$24.23,$26.61,$28.23,$8.50,$9.71,$11.10,$12.31,$12.10,$13.31,$16.99,$19.43,$22.19,$24.63,$24.19,$26.63
15 m / 49.21 ft,015M,$8.60,$10.30,$10.50,$12.20,$13.00,$14.70,$13.80,$17.20,$18.20,$21.60,$22.20,$25.60,$11.60,$13.30,$15.00,$16.70,$16.00,$17.70,$21.30,$23.20,$25.70,$27.60,$29.70,$31.60,$11.60,$13.30,$15.00,$16.70,$16.00,$17.70,$21.30,$23.20,$25.70,$27.60,$29.70,$31.60,$9.90,$11.40,$12.50,$14.00,$13.50,$15.00,$19.80,$22.80,$25.00,$28.00,$27.00,$30.00
15.24 m / 50 ft,050FT,$8.70,$10.42,$10.57,$12.30,$13.10,$14.82,$13.94,$17.39,$18.34,$21.79,$22.34,$25.79,$11.74,$13.47,$15.14,$16.87,$16.14,$17.87,$21.56,$23.49,$25.96,$27.89,$29.96,$31.89,$11.74,$13.47,$15.14,$16.87,$16.14,$17.87,$21.56,$23.49,$25.96,$27.89,$29.96,$31.89,$10.02,$11.54,$12.62,$14.14,$13.62,$15.14,$20.04,$23.09,$25.24,$28.29,$27.24,$30.29
17 m /  55.77 ft,017M,$9.40,$11.30,$11.10,$13.00,$13.80,$15.70,$15.00,$18.80,$19.40,$23.20,$23.40,$27.20,$12.80,$14.70,$16.20,$18.10,$17.20,$19.10,$23.50,$25.60,$27.90,$30.00,$31.90,$34.00,$12.80,$14.70,$16.20,$18.10,$17.20,$19.10,$23.50,$25.60,$27.90,$30.00,$31.90,$34.00,$10.90,$12.60,$13.50,$15.20,$14.50,$16.20,$21.80,$25.20,$27.00,$30.40,$29.00,$32.40
18.28 m / 60 ft,060FT,$9.91,$11.94,$11.48,$13.51,$14.31,$16.34,$15.77,$19.82,$20.17,$24.22,$24.17,$28.22,$13.57,$15.60,$16.97,$19.00,$17.97,$20.00,$24.91,$27.14,$29.31,$31.54,$33.31,$35.54,$13.57,$15.60,$16.97,$19.00,$17.97,$20.00,$24.91,$27.14,$29.31,$31.54,$33.31,$35.54,$11.54,$13.37,$14.14,$15.97,$15.14,$16.97,$23.08,$26.74,$28.28,$31.94,$30.28,$33.94
20 m /  65.61 ft,020M,$10.60,$12.80,$12.00,$14.20,$15.00,$17.20,$16.80,$21.20,$21.20,$25.60,$25.20,$29.60,$14.60,$16.80,$18.00,$20.20,$19.00,$21.20,$26.80,$29.20,$31.20,$33.60,$35.20,$37.60,$14.60,$16.80,$18.00,$20.20,$19.00,$21.20,$26.80,$29.20,$31.20,$33.60,$35.20,$37.60,$12.40,$14.40,$15.00,$17.00,$16.00,$18.00,$24.80,$28.80,$30.00,$34.00,$32.00,$36.00
21.33 m / 70 ft,070FT,$11.13,$13.47,$12.40,$14.73,$15.53,$17.87,$17.60,$22.26,$22.00,$26.66,$26.00,$30.66,$15.40,$17.73,$18.80,$21.13,$19.80,$22.13,$28.26,$30.80,$32.66,$35.20,$36.66,$39.20,$15.40,$17.73,$18.80,$21.13,$19.80,$22.13,$28.26,$30.80,$32.66,$35.20,$36.66,$39.20,$13.07,$15.20,$15.67,$17.80,$16.67,$18.80,$26.13,$30.40,$31.33,$35.60,$33.33,$37.60
22 m /  72.17 ft,022M,$11.40,$13.80,$12.60,$15.00,$15.80,$18.20,$18.00,$22.80,$22.40,$27.20,$26.40,$31.20,$15.80,$18.20,$19.20,$21.60,$20.20,$22.60,$29.00,$31.60,$33.40,$36.00,$37.40,$40.00,$15.80,$18.20,$19.20,$21.60,$20.20,$22.60,$29.00,$31.60,$33.40,$36.00,$37.40,$40.00,$13.40,$15.60,$16.00,$18.20,$17.00,$19.20,$26.80,$31.20,$32.00,$36.40,$34.00,$38.40
22.86 m / 75 ft,075FT,$11.74,$14.23,$12.86,$15.34,$16.14,$18.63,$18.52,$23.49,$22.92,$27.89,$26.92,$31.89,$16.32,$18.80,$19.72,$22.20,$20.72,$23.20,$29.95,$32.63,$34.35,$37.03,$38.35,$41.03,$16.32,$18.80,$19.72,$22.20,$20.72,$23.20,$29.95,$32.63,$34.35,$37.03,$38.35,$41.03,$13.83,$16.12,$16.43,$18.72,$17.43,$19.72,$27.66,$32.23,$32.86,$37.43,$34.86,$39.43
24.38 m / 80 ft,080FT,$12.35,$14.99,$13.31,$15.95,$16.75,$19.39,$19.43,$24.70,$23.83,$29.10,$27.83,$33.10,$17.23,$19.87,$20.63,$23.27,$21.63,$24.27,$31.62,$34.46,$36.02,$38.86,$40.02,$42.86,$17.23,$19.87,$20.63,$23.27,$21.63,$24.27,$31.62,$34.46,$36.02,$38.86,$40.02,$42.86,$14.59,$17.03,$17.19,$19.63,$18.19,$20.63,$29.18,$34.06,$34.38,$39.26,$36.38,$41.26
25 m /  82.02 ft,025M,$12.60,$15.30,$13.50,$16.20,$17.00,$19.70,$19.80,$25.20,$24.20,$29.60,$28.20,$33.60,$17.60,$20.30,$21.00,$23.70,$22.00,$24.70,$32.30,$35.20,$36.70,$39.60,$40.70,$43.60,$17.60,$20.30,$21.00,$23.70,$22.00,$24.70,$32.30,$35.20,$36.70,$39.60,$40.70,$43.60,$14.90,$17.40,$17.50,$20.00,$18.50,$21.00,$29.80,$34.80,$35.00,$40.00,$37.00,$42.00
27.43 m / 90 ft,090FT,$13.57,$16.52,$14.23,$17.17,$17.97,$20.92,$21.26,$27.14,$25.66,$31.54,$29.66,$35.54,$19.06,$22.00,$22.46,$25.40,$23.46,$26.40,$34.97,$38.12,$39.37,$42.52,$43.37,$46.52,$19.06,$22.00,$22.46,$25.40,$23.46,$26.40,$34.97,$38.12,$39.37,$42.52,$43.37,$46.52,$16.12,$18.86,$18.72,$21.46,$19.72,$22.46,$32.23,$37.72,$37.43,$42.92,$39.43,$44.92
30 m /  98.42 ft,030M,$14.60,$17.80,$15.00,$18.20,$19.00,$22.20,$22.80,$29.20,$27.20,$33.60,$31.20,$37.60,$20.60,$23.80,$24.00,$27.20,$25.00,$28.20,$37.80,$41.20,$42.20,$45.60,$46.20,$49.60,$20.60,$23.80,$24.00,$27.20,$25.00,$28.20,$37.80,$41.20,$42.20,$45.60,$46.20,$49.60,$17.40,$20.40,$20.00,$23.00,$21.00,$24.00,$34.80,$40.80,$40.00,$46.00,$42.00,$48.00
30.48 m /  100 ft,100FT,$14.79,$18.04,$15.14,$18.39,$19.19,$22.44,$23.09,$29.58,$27.49,$33.98,$31.49,$37.98,$20.89,$24.14,$24.29,$27.54,$25.29,$28.54,$38.33,$41.78,$42.73,$46.18,$46.73,$50.18,$20.89,$24.14,$24.29,$27.54,$25.29,$28.54,$38.33,$41.78,$42.73,$46.18,$46.73,$50.18,$17.64,$20.69,$20.24,$23.29,$21.24,$24.29,$35.28,$41.38,$40.48,$46.58,$42.48,$48.58
33.52 m / 110 ft,110FT,$16.01,$19.56,$16.06,$19.61,$20.41,$23.96,$24.91,$32.02,$29.31,$36.42,$33.31,$40.42,$22.71,$26.26,$26.11,$29.66,$27.11,$30.66,$41.67,$45.42,$46.07,$49.82,$50.07,$53.82,$22.71,$26.26,$26.11,$29.66,$27.11,$30.66,$41.67,$45.42,$46.07,$49.82,$50.07,$53.82,$19.16,$22.51,$21.76,$25.11,$22.76,$26.11,$38.32,$45.02,$43.52,$50.22,$45.52,$52.22
35 m / 114.82 ft,035M,$16.60,$20.30,$16.50,$20.20,$21.00,$24.70,$25.80,$33.20,$30.20,$37.60,$34.20,$41.60,$23.60,$27.30,$27.00,$30.70,$28.00,$31.70,$43.30,$47.20,$47.70,$51.60,$51.70,$55.60,$23.60,$27.30,$27.00,$30.70,$28.00,$31.70,$43.30,$47.20,$47.70,$51.60,$51.70,$55.60,$19.90,$23.40,$22.50,$26.00,$23.50,$27.00,$39.80,$46.80,$45.00,$52.00,$47.00,$54.00
36.57 m / 120 ft,120FT,$17.23,$21.09,$16.97,$20.83,$21.63,$25.49,$26.74,$34.46,$31.14,$38.86,$35.14,$42.86,$24.54,$28.40,$27.94,$31.80,$28.94,$32.80,$45.03,$49.08,$49.43,$53.48,$53.43,$57.48,$24.54,$28.40,$27.94,$31.80,$28.94,$32.80,$45.03,$49.08,$49.43,$53.48,$53.43,$57.48,$20.69,$24.34,$23.29,$26.94,$24.29,$27.94,$41.37,$48.68,$46.57,$53.88,$48.57,$55.88
